City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches,Snow Inches
0,Puerto Ayora,EC,-0.74,-90.35,70.0,86,88,1.99,overcast clouds,0.0,0
1,Ancud,CL,-41.87,-73.82,46.99,81,20,4.7,few clouds,0.0,0
2,Shitanjing,CN,39.23,106.34,66.15,70,0,3.71,clear sky,0.0,0
3,Fuling,CN,29.7,107.39,75.58,93,100,1.5,moderate rain,1.44,0
4,Topeka,US,39.05,-95.68,87.8,43,1,14.99,clear sky,0.0,0
5,Albany,US,42.6,-73.97,90.0,38,7,9.13,clear sky,0.0,0
6,Hasaki,JP,35.73,140.83,64.4,100,75,6.93,broken clouds,0.0,0
7,Hobart,AU,-42.88,147.33,39.99,93,75,9.17,broken clouds,0.0,0
8,Avarua,CK,-21.21,-159.78,69.8,94,94,6.93,heavy intensity rain,0.0,0
9,Jamestown,US,42.1,-79.24,75.0,60,1,12.75,clear sky,0.0,0
10,Poykovskiy,RU,61.23,73.33,57.2,100,81,7.9,broken clouds,0.0,0
11,Hilo,US,19.73,-155.09,78.8,69,90,5.82,moderate rain,1.52,0
12,Lebu,CL,-37.62,-73.65,50.36,91,100,4.18,overcast clouds,0.0,0
13,Ondangwa,NA,-17.92,15.95,64.4,30,0,4.7,clear sky,0.0,0
14,Ushuaia,AR,-54.8,-68.3,35.6,94,40,16.11,scattered clouds,0.0,0
15,Tomatlan,MX,19.93,-105.25,91.53,50,100,2.46,overcast clouds,0.0,0
16,Bloemfontein,ZA,-29.12,26.21,35.6,51,0,9.46,clear sky,0.0,0
17,Siyabuswa,ZA,-25.11,29.04,43.59,61,0,4.05,clear sky,0.0,0
18,Itarema,BR,-2.92,-39.92,80.11,77,58,13.67,light rain,0.17,0
19,Manaure,CO,11.78,-72.44,87.8,66,75,17.22,broken clouds,0.0,0
20,Yorosso,ML,12.35,-4.78,79.21,73,47,4.47,moderate rain,1.39,0
21,Bredasdorp,ZA,-34.53,20.04,48.2,66,0,2.24,clear sky,0.0,0
22,Gweta,BW,-20.18,25.23,50.36,43,0,9.17,clear sky,0.0,0
23,Bubaque,GW,11.28,-15.83,79.02,86,100,15.99,overcast clouds,0.0,0
24,Freetown,SL,8.48,-13.23,76.17,88,100,8.77,light rain,0.59,0
25,Gasa,PS,31.5,34.47,79.0,70,0,3.58,clear sky,0.0,0
