City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,
2,Shitanjing,CN,66.15,clear sky,39.23,106.34,
6,Hasaki,JP,64.4,broken clouds,35.73,140.83,
8,Avarua,CK,69.8,heavy intensity rain,-21.21,-159.78,
9,Jamestown,US,75.0,clear sky,42.1,-79.24,
10,Poykovskiy,RU,57.2,broken clouds,61.23,73.33,
12,Lebu,CL,50.36,overcast clouds,-37.62,-73.65,
13,Ondangwa,,64.4,clear sky,-17.92,15.95,
22,Gweta,BW,50.36,clear sky,-20.18,25.23,
23,Bubaque,GW,79.02,overcast clouds,11.28,-15.83,
25,Gasa,PS,79.0,clear sky,31.5,34.47,
28,Chokurdakh,RU,59.32,broken clouds,70.63,147.92,
29,Port Elizabeth,ZA,55.4,clear sky,-33.92,25.57,
32,Rikitea,PF,71.11,clear sky,-23.12,-134.97,
33,Port Alfred,ZA,58.59,clear sky,-33.59,26.89,
37,Norman Wells,CA,60.8,broken clouds,65.28,-126.83,
38,Komsomolskiy,UZ,75.2,overcast clouds,40.43,71.72,
39,Camacha,PT,69.8,scattered clouds,33.08,-16.33,
44,Yellowknife,CA,66.2,broken clouds,62.46,-114.35,
48,Vaini,TO,69.8,broken clouds,-21.2,-175.2,
52,Saskylakh,RU,59.34,broken clouds,71.92,114.08,
54,Oga,IT,59.0,scattered clouds,46.46,10.35,
57,Nikolskoye,RU,57.0,broken clouds,59.7,30.79,
59,Richards Bay,ZA,57.52,clear sky,-28.78,32.04,
60,Saldanha,ZA,57.2,clear sky,-33.01,17.94,
61,Busselton,AU,55.0,scattered clouds,-33.65,115.33,
63,Provideniya,RU,51.8,fog,64.38,-173.3,
64,Pafos,CY,77.0,few clouds,34.77,32.42,
66,Jining,CN,71.01,overcast clouds,35.41,116.58,
68,Constitucion,CL,57.06,overcast clouds,-35.33,-72.42,
73,Cape Town,ZA,57.99,broken clouds,-33.93,18.42,
74,Kodiak,US,55.4,overcast clouds,57.79,-152.41,
77,Stanari,BA,62.6,clear sky,44.75,17.83,
80,Tiksi,RU,58.42,overcast clouds,71.69,128.87,
82,Ustye,RU,53.17,broken clouds,59.63,39.74,
83,Fougamou,GA,72.43,broken clouds,-1.22,10.58,
84,Dryden,CA,73.4,few clouds,49.78,-92.75,
91,Gravdal,NO,53.6,few clouds,68.12,13.5,
92,Gat,IL,78.01,clear sky,31.61,34.76,
93,Vitorino Freire,BR,78.64,few clouds,-4.07,-45.17,
94,Torbay,CA,64.0,broken clouds,47.67,-52.73,
95,East London,ZA,60.12,clear sky,-33.02,27.91,
97,Karbinci,MK,68.0,broken clouds,41.82,22.24,
98,Pio Xii,BR,78.58,clear sky,-3.83,-45.15,
99,Katsuura,JP,68.0,light intensity shower rain,35.13,140.3,
102,Narsaq,GL,59.0,overcast clouds,60.92,-46.05,
105,Kawambwa,ZM,64.81,clear sky,-9.79,29.08,
106,Qaqortoq,GL,59.0,overcast clouds,60.72,-46.03,
107,Mahebourg,MU,71.6,few clouds,-20.41,57.7,
109,Urdoma,RU,55.58,scattered clouds,61.75,48.54,
110,Port Hardy,CA,55.4,broken clouds,50.7,-127.42,
112,Castro,BR,66.33,clear sky,-24.79,-50.01,
113,Khatanga,RU,53.92,overcast clouds,71.97,102.5,
114,Ponta Do Sol,PT,72.0,clear sky,32.67,-17.1,
115,Moron,AR,55.99,overcast clouds,-34.65,-58.62,
117,Muros,ES,73.99,clear sky,42.78,-9.06,
119,Hermanus,ZA,55.0,clear sky,-34.42,19.23,
120,Horqueta,PY,78.55,clear sky,-23.34,-57.06,
121,Lagoa,PT,68.95,clear sky,39.05,-27.98,
124,Haines Junction,CA,61.48,overcast clouds,60.75,-137.51,
125,Ajdabiya,LY,74.88,clear sky,30.76,20.23,
130,Kichmengskiy Gorodok,RU,56.07,scattered clouds,59.98,45.79,
131,Korla,CN,78.01,few clouds,41.76,86.15,
133,Biak,ID,76.05,scattered clouds,-0.91,122.88,
135,Ribeira Grande,PT,73.4,few clouds,38.52,-28.7,
137,Dongsheng,CN,57.24,clear sky,39.82,109.98,
140,Husavik,IS,55.4,light rain,66.04,-17.34,
143,Olafsvik,IS,51.57,broken clouds,64.89,-23.71,
144,Sri Aman,MY,75.2,overcast clouds,1.24,111.46,
145,Novyy Urengoy,RU,60.17,overcast clouds,66.08,76.63,
147,Tuktoyaktuk,CA,57.2,scattered clouds,69.45,-133.04,
150,Thayetmyo,MM,77.05,overcast clouds,19.32,95.18,
151,Charters Towers,AU,54.61,broken clouds,-20.1,146.27,
152,Carnarvon,AU,57.2,scattered clouds,-24.87,113.63,
153,Raudeberg,NO,53.6,broken clouds,61.99,5.14,
154,Yulin,CN,77.41,broken clouds,22.63,110.15,
155,Atambua,ID,69.42,overcast clouds,-9.11,124.89,
157,Karratha,AU,60.12,scattered clouds,-20.74,116.85,
161,Chicama,PE,69.96,few clouds,-7.84,-79.15,
162,Thompson,CA,71.6,broken clouds,55.74,-97.86,
163,Mkushi,ZM,64.08,scattered clouds,-13.62,29.39,
164,Krasnokamensk,RU,62.26,overcast clouds,50.1,118.04,
166,Parrita,CR,77.0,broken clouds,9.52,-84.32,
167,Senanga,ZM,56.1,clear sky,-16.12,23.27,
168,Egvekinot,RU,55.29,overcast clouds,66.32,-179.17,
170,Port Lincoln,AU,51.94,clear sky,-34.73,135.87,
171,Ust-Omchug,RU,66.58,scattered clouds,61.15,149.63,
174,Srandakan,ID,72.82,overcast clouds,-7.94,110.25,
175,Bengkulu,ID,74.55,scattered clouds,-3.8,102.27,
176,Embonas,GR,78.8,clear sky,36.23,27.86,
178,Sampang,ID,78.42,overcast clouds,-7.19,113.24,
181,Voi,KE,69.03,broken clouds,-3.39,38.56,
182,Bongandanga,CD,77.86,overcast clouds,1.5,21.05,
185,Ust-Nera,RU,68.7,overcast clouds,64.57,143.2,
186,Esperance,AU,50.0,clear sky,-33.87,121.9,
187,Liverpool,GB,64.4,few clouds,53.41,-2.98,
189,Monrovia,LR,77.0,broken clouds,6.3,-10.8,
192,Souillac,MU,71.6,few clouds,-20.52,57.52,
193,Sundsvall,SE,57.2,overcast clouds,62.39,17.31,
194,Port Moresby,PG,74.8,overcast clouds,-9.44,147.18,
195,Merauke,ID,77.31,broken clouds,-8.47,140.33,
196,Bambous Virieux,MU,72.0,few clouds,-20.34,57.76,
197,Prince Rupert,CA,57.2,scattered clouds,54.32,-130.32,
199,Vuktyl,RU,57.11,broken clouds,63.86,57.31,
200,Salym,RU,57.63,few clouds,60.06,71.48,
201,Matara,LK,79.09,overcast clouds,5.95,80.54,
202,Vallenar,CL,78.62,broken clouds,-28.57,-70.76,
210,Beloha,MG,66.56,scattered clouds,-25.17,45.05,
211,Alofi,NU,73.4,broken clouds,-19.06,-169.92,
212,La Ronge,CA,75.2,overcast clouds,55.1,-105.28,
216,Nizhniy Ufaley,RU,58.26,clear sky,55.92,59.98,
217,Harseni,RO,57.0,overcast clouds,45.75,25.02,
218,Baykit,RU,55.17,broken clouds,61.67,96.37,
219,Yuanlin,CN,70.39,overcast clouds,30.42,112.89,
221,Sisimiut,GL,52.92,broken clouds,66.94,-53.67,
222,Vila Do Maio,CV,78.8,broken clouds,15.13,-23.22,
223,Anadyr,RU,57.2,broken clouds,64.75,177.48,
224,Barranca,PE,64.96,few clouds,-10.75,-77.77,
227,Koutsouras,GR,76.87,clear sky,35.03,25.95,
228,Coos Bay,US,77.0,clear sky,43.37,-124.22,
229,Bone,DE,63.0,scattered clouds,51.97,12.14,
231,Solnechnyy,RU,64.76,broken clouds,50.72,136.63,
232,Serta,PT,71.01,clear sky,39.81,-8.1,
234,Cherskiy,RU,51.89,overcast clouds,68.75,161.3,
236,Axim,GH,74.59,scattered clouds,4.87,-2.24,
237,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,
240,Kununurra,AU,66.2,overcast clouds,-15.77,128.73,
242,Neiafu,TO,75.2,light intensity shower rain,-18.65,-173.98,
