City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2020-07-10 21:43:11,-53.15,-70.92,32.0,89,75,11.41
1,Torbay,CA,2020-07-10 21:46:28,47.67,-52.73,57.99,76,90,5.82
2,Bredasdorp,ZA,2020-07-10 21:44:34,-34.53,20.04,50.0,81,42,10.29
3,Qaanaaq,GL,2020-07-10 21:44:15,77.48,-69.36,45.18,59,59,2.64
4,Cabo San Lucas,MX,2020-07-10 21:46:26,22.89,-109.91,89.6,66,20,11.41
5,Cape Town,ZA,2020-07-10 21:41:45,-33.93,18.42,53.01,81,75,18.34
6,Pirgos,GR,2020-07-10 21:46:29,35.12,25.72,77.0,57,7,15.01
7,Cayenne,GF,2020-07-10 21:44:46,4.93,-52.33,84.2,70,100,4.7
8,Hilo,US,2020-07-10 21:42:27,19.73,-155.09,82.4,61,90,6.93
9,Gibraltar,GI,2020-07-10 21:46:29,36.14,-5.35,71.6,83,0,6.93
10,Khatanga,RU,2020-07-10 21:42:24,71.97,102.5,52.68,84,99,21.47
11,Alekseyevsk,RU,2020-07-10 21:46:29,57.84,108.35,64.17,81,96,1.95
12,Namatanai,PG,2020-07-10 21:46:30,-3.67,152.43,82.15,74,67,6.85
13,Lavrentiya,RU,2020-07-10 21:46:30,65.58,-171.0,51.33,74,99,1.12
14,Ganganagar,IN,2020-07-10 21:46:30,29.92,73.88,96.55,44,2,12.97
15,Sembe,CG,2020-07-10 21:46:30,1.65,14.58,71.69,88,94,1.52
16,Beira,MZ,2020-07-10 21:46:30,-19.84,34.84,68.0,100,1,6.93
17,College,US,2020-07-10 21:41:43,64.86,-147.8,66.99,37,40,8.05
18,Grindavik,IS,2020-07-10 21:46:31,63.84,-22.43,48.2,87,90,11.41
19,Jamestown,US,2020-07-10 21:43:45,42.1,-79.24,87.8,43,20,9.17
20,Ventspils,LV,2020-07-10 21:46:31,57.39,21.56,59.0,100,90,6.93
21,Dikson,RU,2020-07-10 21:46:31,73.51,80.55,43.81,78,61,14.76
22,Bluff,NZ,2020-07-10 21:42:58,-46.6,168.33,48.81,76,89,20.96
23,Ilulissat,GL,2020-07-10 21:42:24,69.22,-51.1,42.8,87,100,12.75
24,Balkhash,KZ,2020-07-10 21:46:31,46.84,74.98,73.83,55,35,10.0
25,Ushuaia,AR,2020-07-10 21:46:31,-54.8,-68.3,35.6,69,40,5.82
26,Urcos,PE,2020-07-10 21:46:32,-13.69,-71.62,58.12,41,51,7.72
27,Sarkikaraagac,TR,2020-07-10 21:46:32,38.08,31.37,63.25,58,0,4.18
28,Rikitea,PF,2020-07-10 21:44:03,-23.12,-134.97,67.53,66,73,18.41
29,Kouango,CF,2020-07-10 21:46:32,4.99,19.96,72.57,94,100,3.15
30,Chokurdakh,RU,2020-07-10 21:46:32,70.63,147.92,55.96,53,0,9.44
31,Kashiwara,JP,2020-07-10 21:46:32,34.45,135.77,81.0,80,98,3.0
32,Ribeira Grande,PT,2020-07-10 21:46:33,38.52,-28.7,69.1,75,30,8.08
33,Vostok,RU,2020-07-10 21:46:33,46.49,135.88,59.86,85,0,2.51
34,Hermanus,ZA,2020-07-10 21:46:33,-34.42,19.23,48.99,91,90,5.01
35,Vardo,NO,2020-07-10 21:46:28,70.37,31.11,48.2,81,75,6.93
36,Borogontsy,RU,2020-07-10 21:46:33,62.67,131.17,62.15,71,100,5.35
37,Butaritari,KI,2020-07-10 21:42:59,3.07,172.79,82.74,79,100,16.62
38,Teknaf,BD,2020-07-10 21:46:33,20.86,92.31,81.3,88,100,8.1
39,New Norfolk,AU,2020-07-10 21:46:33,-42.78,147.06,39.0,93,100,2.33
40,Mar Del Plata,AR,2020-07-10 21:43:16,-38.0,-57.56,48.2,87,75,16.11
41,Muroto,JP,2020-07-10 21:46:34,33.28,134.15,75.2,100,75,3.36
42,Jumla,NP,2020-07-10 21:46:34,29.27,82.18,61.95,69,96,0.47
43,Barrow,US,2020-07-10 21:46:34,71.29,-156.79,37.4,74,40,6.93
44,Yarada,IN,2020-07-10 21:46:35,17.65,83.27,80.6,88,40,2.24
45,Labuhan,ID,2020-07-10 21:45:54,-6.88,112.21,75.25,88,100,8.19
46,Vaini,TO,2020-07-10 21:44:06,-21.2,-175.2,73.4,78,20,11.41
47,Aksu,CN,2020-07-10 21:46:35,41.12,80.26,69.64,49,55,0.6
48,Port Elizabeth,ZA,2020-07-10 21:46:36,-33.92,25.57,60.8,72,93,10.29
49,Port Alfred,ZA,2020-07-10 21:44:11,-33.59,26.89,63.0,60,54,5.01
50,Umtata,ZA,2020-07-10 21:46:36,-31.59,28.78,60.8,38,0,1.12
51,Touros,BR,2020-07-10 21:46:37,-5.2,-35.46,77.0,83,0,5.82
52,Ancud,CL,2020-07-10 21:44:47,-41.87,-73.82,45.0,86,20,9.17
53,Viedma,AR,2020-07-10 21:43:04,-40.81,-63.0,42.49,62,0,9.93
54,Ashland,US,2020-07-10 21:46:37,40.82,-82.27,79.0,78,40,10.29
55,Lagoa,PT,2020-07-10 21:46:38,39.05,-27.98,68.92,76,0,7.54
56,Saint-Philippe,RE,2020-07-10 21:46:38,-21.36,55.77,66.2,68,57,8.05
57,San Miguel,SV,2020-07-10 21:46:38,13.48,-88.18,91.4,74,40,4.7
58,Albany,US,2020-07-10 21:45:55,42.6,-73.97,80.01,83,100,6.15
59,Bambous Virieux,MU,2020-07-10 21:42:50,-20.34,57.76,69.8,64,75,18.34
60,Elliot Lake,CA,2020-07-10 21:46:38,46.38,-82.63,78.8,78,75,12.75
61,Tavricheskoye,RU,2020-07-10 21:46:39,54.59,73.64,55.4,87,46,4.47
